case_id,method,source_type,source_id,target_type,label_source,tags,hybrid_ready_expected,cold_start,latency_ms,time_to_first_usable_ms,result_count,coverage,explanation_coverage,cold_start_success,mrr,precision_at_5,recall_at_5,ndcg_at_5,hit_rate_at_5
prj_001_to_funder_primary,random,project,prj_001,funder,admin_review,[],False,False,1784.88,1784.88,5,0.7142857142857143,0.4,1.0,1.0,0.4,1.0,0.9060254355346823,1.0
prj_001_to_funder_primary,topic_overlap,project,prj_001,funder,admin_review,[],False,False,6.85,6.85,1,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0
prj_001_to_funder_primary,embedding_only,project,prj_001,funder,admin_review,[],False,False,34.06,34.06,5,0.7142857142857143,0.0,1.0,0.25,0.2,0.5,0.3031610197508214,1.0
prj_001_to_funder_primary,hybrid,project,prj_001,funder,admin_review,[],False,False,2367.75,2367.75,5,0.7142857142857143,0.6,1.0,1.0,0.4,1.0,1.0,1.0
prj_001_to_funder_secondary,random,project,prj_001,funder,admin_review,[],False,False,2270.32,2270.32,5,0.7142857142857143,0.4,1.0,0.5,0.2,0.5,0.23981246656813146,1.0
prj_001_to_funder_secondary,topic_overlap,project,prj_001,funder,admin_review,[],False,False,8.74,8.74,1,0.14285714285714285,0.0,1.0,1.0,1.0,0.5,0.38009376671593426,1.0
prj_001_to_funder_secondary,embedding_only,project,prj_001,funder,admin_review,[],False,False,34.12,34.12,5,0.7142857142857143,0.0,1.0,1.0,0.4,1.0,0.7601875334318685,1.0
prj_001_to_funder_secondary,hybrid,project,prj_001,funder,admin_review,[],False,False,1860.16,1860.16,5,0.7142857142857143,0.6,1.0,0.3333333333333333,0.2,0.5,0.19004688335796713,1.0
prj_005_to_funder,random,project,prj_005,funder,admin_review,[],False,False,1972.21,1972.21,5,0.7142857142857143,0.6,1.0,1.0,0.6,1.0,0.9249822178570096,1.0
prj_005_to_funder,topic_overlap,project,prj_005,funder,admin_review,[],False,False,6.89,6.89,1,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0
prj_005_to_funder,embedding_only,project,prj_005,funder,admin_review,[],False,False,32.2,32.2,5,0.7142857142857143,0.0,1.0,0.3333333333333333,0.4,0.6666666666666666,0.4774827167955007,1.0
prj_005_to_funder,hybrid,project,prj_005,funder,admin_review,[],False,False,1787.11,1787.11,5,0.7142857142857143,0.8,1.0,1.0,0.6,1.0,1.0,1.0
hybrid_prj_001_to_funder,random,project,prj_001,funder,admin_review,['hybrid_ready'],True,False,1882.07,1882.07,5,0.7142857142857143,0.4,1.0,1.0,0.4,1.0,0.9060254355346823,1.0
hybrid_prj_001_to_funder,topic_overlap,project,prj_001,funder,admin_review,['hybrid_ready'],True,False,8.03,8.03,1,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hybrid_prj_001_to_funder,embedding_only,project,prj_001,funder,admin_review,['hybrid_ready'],True,False,36.54,36.54,5,0.7142857142857143,0.0,1.0,0.25,0.2,0.5,0.3031610197508214,1.0
hybrid_prj_001_to_funder,hybrid,project,prj_001,funder,admin_review,['hybrid_ready'],True,False,2283.96,2283.96,5,0.7142857142857143,0.6,1.0,1.0,0.4,1.0,1.0,1.0
